id,source_url,on_screen_title,caption_place,start,end,via,tags,best_time,avoid_time,tmap_query,verified,polyline_ready
olympic-magok-gayang-night,https://www.instagram.com/reel/DcqlwBwKdvq/,드라이브 추천,이마트 트레이더스 후 서울방향 빛의 길,마곡대교,가양대교,,밤|조명|서울진입,평일21시후,주말낮,가양대교,no,no
paju-77-pyeonghwa-goyang,,드라이브 코스 추천,파주 77번 국도 평화로 → 고양,파주 평화로,고양,,국도|파주|고양,,,파주 평화로,no,no
